ts,id,color,x,y,orientation
1,0,yellow,4.19997509765625,-2.288690126306392e-12,-3.141592502593994
1,1,yellow,3.399975341796875,-0.2,-3.141592502593994
1,2,yellow,3.399975341796875,0.2,-3.141592502593994
1,3,yellow,0.699975341796875,-2.156969713951185e-12,-3.141592502593994
1,4,yellow,0.699975341796875,2.25,-3.141592502593994
1,5,yellow,0.6999760131835937,-2.25,-3.141592502593994
2,0,yellow,4.19997509765625,-2.267340759587455e-12,-3.141592502593994
2,1,yellow,3.398323061639171,-0.2014860819015911,-3.145999320642795
2,2,yellow,3.397758445056123,0.2001543955265625,-3.137185707195016
2,3,yellow,0.6999752197265625,-2.156189005120268e-12,-3.141592502593994
2,4,yellow,0.6999752197265625,2.25,-3.141592502593994
2,5,yellow,0.7018284697858678,-2.2512275478298096,-3.1554816692606624
3,0,yellow,4.19997509765625,-2.1343238287840903e-12,-3.141592502593994
3,1,yellow,3.399975341796875,-0.2,-3.141592502593994
3,2,yellow,3.399975341796875,0.2,-3.141592502593994
3,3,yellow,0.7044076098241351,-0.000328320842274,-3.141592502593994
3,4,yellow,0.703182453597473,2.253076934748804,-3.113814169260658
3,5,yellow,0.6999752197265625,-2.25,-3.141592502593994
4,0,yellow,4.19916455078125,-0.0001170738264918,3.1405396461486816
4,1,yellow,3.3950190452825777,-0.204458849917536,-3.1460772974180657
4,2,yellow,3.3933246299205297,0.2004628753703354,-3.137100191832124
4,3,yellow,0.7008407592773438,7.54419423174113e-07,-3.141591787338257
4,4,yellow,0.7076591340890019,2.258017130551181,-3.0721466692606536
4,5,yellow,0.7002698974609375,-2.24971630859375,3.1286354064941406
5,0,yellow,4.191697167010979,0.0047051337258109,3.140616532224473
5,1,yellow,3.388362756749206,-0.2103503066491177,-3.1501914035430265
5,2,yellow,3.396890380859375,0.1998703308105468,-3.1377577781677246
5,3,yellow,0.7029506225585938,8.727620542049407e-05,-3.141562461853028
5,4,yellow,0.7129546998320665,2.265156620027419,-3.016590002593981
5,5,yellow,0.70143896484375,-2.249067626953125,3.103387355804444
6,0,yellow,4.19510009765625,-0.0022639014720916,3.139150619506836
6,1,yellow,3.3960693359375,-0.1971312866210937,3.1331024169921875
6,2,yellow,3.393685302734375,0.1996778259277343,-3.13323974609375
6,3,yellow,0.7061011962890625,0.0002707614004611,-3.1415562629699707
6,4,yellow,0.7184256325883128,2.2748276981280955,-2.949922002593974
6,5,yellow,0.7032881469726563,-2.248060791015625,3.062201023101806
7,0,yellow,4.183921967235705,0.0050048056589454,3.139289440444349
7,1,yellow,3.386023737430928,-0.2058988436847093,3.129467080786536
7,2,yellow,3.38925341796875,0.1993530578613281,-3.1290152072906494
7,3,yellow,0.7104723510742188,0.0005658397078514,-3.1415116786956787
7,4,yellow,0.7050576782226563,2.245848388671875,-3.0058481693267822
7,5,yellow,0.7126078125965304,-2.257596445899575,2.9955330231018
8,0,yellow,4.187537109375,-0.0067125959396362,3.138125419616699
8,1,yellow,3.3742359041374,-0.2160492402814325,3.125838711830349
8,2,yellow,3.383772705078125,0.1989507446289062,-3.1249051094055176
8,3,yellow,0.7159139404296875,0.0009219043850898,-3.1414947509765625
8,4,yellow,0.707878173828125,2.24343408203125,-2.9412217140197754
8,5,yellow,0.70954931640625,-2.245043212890625,2.9444737434387207
9,0,yellow,4.172657342790804,0.0030164114839201,3.1382328400218875
9,1,yellow,3.38570556640625,-0.1881440124511718,3.124382734298706
9,2,yellow,3.377077880859375,0.1984291076660156,-3.1212151050567627
9,3,yellow,0.7336437756117913,-0.0003876630306565,-3.141405512136033
9,4,yellow,0.7142101224333629,2.260046185495964,-2.8745537140197683
9,5,yellow,0.7186573333197503,-2.260310992389002,2.8778057434387136
10,0,yellow,4.17648291015625,-0.0134038505554199,3.1371564865112305
10,1,yellow,3.3704393194402456,-0.2010648861534701,3.121705189534573
10,2,yellow,3.36931103515625,0.1978392639160156,-3.117873191833496
10,3,yellow,0.73028759765625,0.0019140149354934,-3.1413819789886475
10,4,yellow,0.7160558471679688,2.23743310546875,-2.804401636123657
10,5,yellow,0.726512600975164,-2.278704116186098,2.8111377434387066
11,0,yellow,4.16965087890625,-0.0175869483947753,3.136787414550781
11,1,yellow,3.375154296875,-0.178795913696289,3.1197896003723145
11,2,yellow,3.360343505859375,0.1971409759521484,-3.114814043045044
11,3,yellow,0.7392069702148437,0.0025439131259918,-3.14129638671875
11,4,yellow,0.7213578491210938,2.2337119140625,-2.735970020294189
11,5,yellow,0.7324051204203614,-2.300130842119274,2.7444697434386995
12,0,yellow,4.16195458984375,-0.0223346328735351,3.136141300201416
12,1,yellow,3.368783203125,-0.1731167602539062,3.1176435947418213
12,2,yellow,3.335902582165392,0.1975837007074571,-3.112489588304528
12,3,yellow,0.7492255249023437,0.0032490785121917,-3.1411895751953125
