ts,id,color,x,y,orientation
1,0,yellow,4.19997607421875,-2.0942496625764307e-12,-3.141592502593994
1,1,yellow,3.39997607421875,-0.2,-3.141592502593994
1,2,yellow,3.39997607421875,0.2,-3.141592502593994
1,3,yellow,0.6999760131835937,-2.094207474101495e-12,-3.141592502593994
1,4,yellow,0.6999760131835937,2.25,-3.141592502593994
1,5,yellow,0.6999760131835937,-2.25,-3.141592502593994
2,0,yellow,4.19997509765625,-2.1086188350949438e-12,-3.141592502593994
2,1,yellow,3.399975341796875,-0.2,-3.141592502593994
2,2,yellow,3.399975341796875,0.2,-3.141592502593994
2,3,yellow,0.6999752197265625,-2.163310419689424e-12,-3.141592502593994
2,4,yellow,0.6999752197265625,2.25,-3.141592502593994
2,5,yellow,0.6999752197265625,-2.25,-3.141592502593994
3,0,yellow,4.19997509765625,-2.2055735016124346e-12,-3.141592502593994
3,1,yellow,3.399975341796875,-0.2,-3.141592502593994
3,2,yellow,3.399975341796875,0.2,-3.141592502593994
3,3,yellow,0.6999752197265625,-2.1670774064119768e-12,-3.141592502593994
3,4,yellow,0.6999752197265625,2.25,-3.141592502593994
3,5,yellow,0.6999752197265625,-2.25,-3.141592502593994
4,0,yellow,4.19997509765625,-2.185241987362474e-12,-3.141592502593994
4,1,yellow,3.399975341796875,-0.2,-3.141592502593994
4,2,yellow,3.399975341796875,0.2,-3.141592502593994
4,3,yellow,0.6999752197265625,-2.1631332280946936e-12,-3.141592502593994
4,4,yellow,0.6999752197265625,2.25,-3.141592502593994
4,5,yellow,0.6999752197265625,-2.25,-3.141592502593994
5,0,yellow,4.1995751953125,-0.0002355636805295,3.141488552093506
5,1,yellow,3.399647705078125,-0.1997256622314453,3.137275457382202
5,2,yellow,3.39951904296875,0.1999664764404297,-3.137585163116455
5,3,yellow,0.7004712524414063,3.154242783784866e-05,-3.141592502593994
5,4,yellow,0.7002061157226562,2.24981298828125,-3.1293678283691406
5,5,yellow,0.7002339477539062,-2.249841064453125,3.129355430603028
6,0,yellow,4.19869091796875,-0.0007772039175033,3.1413826942443848
6,1,yellow,3.398888671875,-0.1990629425048828,3.132867813110352
6,2,yellow,3.398460693359375,0.1998871612548828,-3.133058786392212
6,3,yellow,0.7015419921875,0.0001050591990351,-3.141592502593994
6,4,yellow,0.7008617553710937,2.249308349609375,-3.1032228469848637
6,5,yellow,0.7009642944335938,-2.24942919921875,3.103137969970703
7,0,yellow,4.1973330078125,-0.0016219596862792,3.1412782669067383
7,1,yellow,3.397719482421875,-0.1980154876708984,3.1284584999084477
7,2,yellow,3.39684228515625,0.1997561798095703,-3.1285316944122314
7,3,yellow,0.7031736450195313,0.0002199070006608,-3.141592566167013
7,4,yellow,0.7019572143554688,2.2484873046875,-3.0630462169647217
7,5,yellow,0.70217919921875,-2.248783203125,3.062868356704712
8,0,yellow,4.1955078125,-0.0027657368183135,3.1411707401275635
8,1,yellow,3.39614013671875,-0.1965867156982421,3.124454498291016
8,2,yellow,3.39466796875,0.1995753936767578,-3.124297618865967
8,3,yellow,0.7053610229492188,0.0003758738934993,3.141592502593994
8,4,yellow,0.70348828125,2.247395263671875,-3.0088632106781006
8,5,yellow,0.70387548828125,-2.24793701171875,3.008497953414917
9,0,yellow,4.19321484375,-0.0042100005149841,3.1410632133483887
9,1,yellow,3.3941513671875,-0.194779556274414,3.120851755142212
9,2,yellow,3.3919384765625,0.1993477935791015,-3.1204588413238525
9,3,yellow,0.7081027221679688,0.0005729045867919,3.141592502593994
